case_name,recurrence,our_solver_solved,our_method,our_closed_form,sympy_status,sympy_closed_form,symbolically_equivalent
First-order homogeneous recurrence,a_n = 2*a_(n-1),True,homogeneous_characteristic_polynomial,2**n,OK,2**n,PASS
First-order non-homogeneous recurrence with constant term,a_n = 2*a_(n-1) + 3,True,first_order_nonhomogeneous_summation,2**(n + 2) - 3,OK,2**(n + 2) - 3,PASS
Arithmetic progression as recurrence,a_n = a_(n-1) + 5,True,first_order_nonhomogeneous_summation_c_equals_1,5*n + 2,OK,5*n + 2,PASS
First-order non-homogeneous recurrence with index term,a_n = 2*a_(n-1) + n,True,first_order_nonhomogeneous_summation,3*2**n - n - 2,OK,3*2**n - n - 2,PASS
Second-order Fibonacci-type recurrence,a_n = a_(n-1) + a_(n-2),True,homogeneous_characteristic_polynomial,sqrt(5)*(-(1 - sqrt(5))**n + (1 + sqrt(5))**n)/(5*2**n),OK,sqrt(5)*(-(1 - sqrt(5))**n + (1 + sqrt(5))**n)/(5*2**n),PASS
Second-order linear recurrence,a_n = 3*a_(n-1) - 2*a_(n-2),True,homogeneous_characteristic_polynomial,2**n,OK,2**n,PASS
Rowland gcd recurrence,"a_n = a_(n-1) + gcd(n, a_(n-1))",False,not_applicable,,Not a linear constant-coefficient case.,,NOT_COMPARABLE
Nonlinear square recurrence,a_n = a_(n-1)**2 + 1,False,not_applicable,,Not a linear constant-coefficient case.,,NOT_COMPARABLE
