ID,Fallback Reason,Diagnostics Used,Growth Class,Monotonicity,Periodicity,Spike Count,Digit Length End,Overflow Guard
C11,variable-coefficient recurrence,"first_difference, second_difference, ratio_trend, log_growth, digit_length, monotonicity, periodicity, spike_detection, factorial_like_ratio_trend",super-exponential/factorial-like,non-decreasing,not detected,0,63,completed
C12,Rowland gcd number-theoretic recurrence,"first_difference, second_difference, ratio_trend, log_growth, digit_length, monotonicity, periodicity, spike_detection, increment_sequence, prime_jump_check, jump_frequency",irregular number-theoretic,strictly increasing,not detected,5,3,completed
C13,nonlinear square recurrence,"first_difference, second_difference, ratio_trend, log_growth, digit_length, monotonicity, periodicity, spike_detection, divergence_guard, digit_growth",explosive nonlinear,strictly increasing,not detected,4,182,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C14,modular periodic recurrence,"first_difference, second_difference, ratio_trend, log_growth, digit_length, monotonicity, periodicity, spike_detection, tail_cycle_detection",periodic/cyclic,mixed/oscillatory,tail-cycle period 5,0,1,completed
